Common_Name	Scientific_Name	UCSC_ID	Taxon_ID
Platypus 	Ornithorhynchus anatinus	ornAna1	9258
Rabbit	Oryctolagus cuniculus	oryCun1	9986
Rabbit	Oryctolagus cuniculus	oryCun2	9986
Medaka 	Oryzias latipes	oryLat2	8090
Bushbaby	Otolemur garnettii	otoGar1	30611
Bushbaby	Otolemur garnettii	otoGar3	30611
Sheep	Ovis aries	oviAri1	9940
Sheep	Ovis aries	oviAri3	9940
Chimpanzee	Pan troglodytes	panTro1	9598
Chimpanzee	Pan troglodytes	panTro2	9598
Chimpanzee	Pan troglodytes	panTro3	9598
Chimpanzee	Pan troglodytes	panTro4	9598
Baboon	Papio anubis	papAnu2	9555
Baboon	Papio hamadryas	papHam1	9557
Lamprey	Petromyzon marinus	petMar1	7757
Lamprey	Petromyzon marinus	petMar2	7757
Orangutan 	Pongo abelii	ponAbe2	9601
Roundworm	Pristionchus pacificus	priPac1	54126
Rock hyrax	Procavia capensis	proCap1	9813
Megabat	Pteropus vampyrus	pteVam1	132908
Rhesus macaque	Macaca mulatta	rheMac1	9544
Rhesus macaque	Macaca mulatta	rheMac2	9544
Rhesus macaque	Macaca mulatta	rheMac3	9544
Rat	Rattus	rn3	10114
Rat	Rattus	rn4	10114
Rat	Rattus	rn5	10114
Rat	Rattus	rn6	10114
Yeast	Saccharomyces cerevisiae	sacCer1	4932
Yeast	Saccharomyces cerevisiae	sacCer2	4932
Yeast	Saccharomyces cerevisiae	sacCer3	4932
Squirrel monkey	Saimiri boliviensis	saiBol1	27679
Tasmanian devil	Sarcophilus harrisii	sarHar1	9305
Shrew	Sorex araneus	sorAra1	42254
Shrew	Sorex araneus	sorAra2	42254
Squirrel	Spermophilus tridecemlineatus	speTri1	43179
Squirrel	Spermophilus tridecemlineatus	speTri2	43179
Purple Sea Urchin	Strongylocentrotus purpuratus	strPur1	7668
Purple Sea Urchin	Strongylocentrotus purpuratus	strPur2	7668
Pig	Sus scrofa	susScr2	9823
Pig	Sus scrofa	susScr3	9823
